product_id,product_name,price_after,price_before,discount
6222014353147,جهينة زبادي بوناني بالفانيليا - 180 جرام,25.55,21.95,14.090019569471629
2122380000000,جبنة شيدر نيوزلندي,379.95,379.95,0
6223000752937,جبنة فيتا دومتي - 500جم,89.95,69.95,22.234574763757642
6222014352218,لبن رايب جهينة - 440مل,13.7,13.7,0
2122089000004,جبنة براميلي طازة,89.9,72.95,18.85428253615128
3228023060383,جبنة بريزيدن مطبوخ كامل الدسم قابل للفرد بالقشطة - 900 جم,220,220,0
6223001877950,كريمة خفق المراعي - 200مل,33.6,33.6,0
3073781052619,جبنة كيري كريمي سبريد - 200 جم,62.1,62.1,0
3073781101539,جبنة مثلثات لافاش كيري مطبوخ - 16 قطعة,41.5,34.95,15.783132530120476
6223003771225,جبنة فيتا بريزيدن - 250 جم,35.9,35.9,0
6223001878643,مشروب زبادي المراعي يو جو بالفراولة - 440 مل,14.1,14.1,0
6223002384051,كريم كراميل دانيت - 75 جم,6.35,6.35,0
2122068000001,لبنة (زبادي لبناني),129.95,129.95,0
3073781155839,جبنة مثلثات لافاش كيري مطبوخ - 8 قطع - 5 علب,103,103,0
6223000752890,جبنة براميلي دومتي - 500جم,89.95,69.95,22.234574763757642
3073781136326,جبنة مثلثات لافاش كيري - 96 قطعة,300,300,0
6223003776121,جبنة مثلثات طعمة ميلك - 40 قطعة,75.95,75.95,0
6222014352287,زبادي يوناني جهينة، 7% دسم - 180 جم,21.55,20.25,6.032482598607892
3073781136265,جبنة مثلثات لافاش كيرى - 40 قطعة,150,150,0
6223003770792,جبنة طعمة مثلثات - 32 قطعة,62.5,62.5,0
3228023000044,جبنة مثلثات بريزيدون - 24 قطعة,93.75,93.75,0
6223004830143,جبنة فيتا لايت قتيلو - 500 جم,115,115,0
3073781115031,كيري لبنة - 150 جرام,46.25,46.25,0
2122096000004,جبنة كيري سايب تي اس اتش,89.95,89.95,0
6224008637233,لمار كريمة طهي - 200 مل,31.95,31.95,0
6223001874973,المراعى تريتس زبادى بفراوله - 100 جم,6.8,5.45,19.852941176470583
2122502000000,جبنة موتزاريلا مستوردة,349.95,349.95,0
3073781115017,جبنة كيري كريمي سبريد - 150 جم,46.55,46.55,0
6221011000351,جبنة إسطنبولي دريم لاند - 500جم,32.95,32.95,0
2122191000008,قشطة طازجة قتيلو,188.95,188.95,0
6223001874928,المراعي زبادي طبيعي - 170 جرام,8.05,8.05,0
6223000757284,جبنة فيتا بلس بالزيتون دومتي - 500 جم,38.4,38.4,0
6223002382514,دانون زبادي طبيعي - 170 جرام,8.05,8.05,0
2122090000000,جبنة فيتا,89.95,72.95,18.899388549193997
6224000432096,مزارع دينا حليب بالشوكولاتة - 850 مل,30.35,30.35,0
3073781097580,جبنة مثلثات لافاش كيري مطبوخ - 8 قطع,21.55,21.55,0
2122679000001,جبنة مينز بالهالبينو,219.95,219.95,0
6223002384198,مشروب زبادي دانون ماكس بالفراولة - 400جم,14.5,14.5,0
2122037000001,جبن مش بالفلفل الحار,69.95,69.95,0
6223003776275,جبنة مثلثات بريزيدن - 80+8 قطعة,289,289,0
6224000036539,جبنة مثلثات طعمة ميلك - 24 قطعة,49.5,49.5,0
6223003771546,مشروب زبادي لاكتيل دويتو بالخوخ - 420مل,19.6,10.95,44.132653061224495
2122363000003,جبنة من جودة,432.95,432.95,0
3073781136302,جبنة لافاش كيري مثلثات - 64 قطعة,225,225,0
6223002389636,دانون هاى برو مشروب زبادى بالكوكيز والكريمة - 260 مل,29.25,29.25,0
3073781153781,كيرى جبنة بالوصفة اليونانى - 350 جرام,104.55,104.55,0
6223000756645,جبنة فيتا بلس دومتي - 250 جم,20.4,20.4,0
2122002000005,مورتة,49.95,49.95,0
6223003698355,زبدة أنكور نيوزيلندية نقية غير مملحة - 10 جرام - 10 قطع,49.95,49.95,0
6223002380152,بودينج شيكولاتة دانيت - 100جم,7.3,7.3,0
6223002384211,مشروب زبادي دانون ماكس بالخوخ - 400جم,14.5,14.5,0
3073781178555,جبنة مثلثات لافاش كيري بالقشطة - 8 قطع,33.25,33.25,0
3073781180176,جبنة مثلثات لافاش كيري - 48 قطعة,174,174,0
6223000352533,جهينة زبادو مشروب زبادى بالخوخ - 220 ملل,8.5,8.5,0
6224000036034,جبنة مثلثات طعمة ميلك - 16 قطعة,35.15,35.15,0
2122057000005,لبنة من هاجدو,224.95,224.95,0
6222014312441,حليب جوز هند نباتي جهينة - 1 لتر,74.95,74.95,0
6224000432041,مزارع دينا لبن بالبلح - 850 مل,30.35,30.35,0
2122189000003,جبنة براميلي قتيلو,153.95,153.95,0
6223002382521,دانون زبادي لايت - 170 جرام,8.05,8.05,0
6224000680107,بيض احمر بشاير - 18 قطعة,89.95,89.95,0
6223004830037,جبنة قتيلو ملح خفيف - 250جم,55.1,55.1,0
3073781028331,جبنة كيري مربعات - 6 قطع,39.5,39.5,0
6223000350386,جهينة كريمة مخفوقة - 200 مل,31.35,31.35,0
6223000755167,جبنة فيتا دومتي - 250 جم,18.25,18.25,0
6224000432195,مزارع دينا لبن شوكولاتة - 250 مللي,12.55,12.55,0
6223006520769,جبن عبور لاند بطعم الجبنة الرومى - 500 جرام,37.15,37.15,0
6223002380688,حليب بالموز دانون دانجو - 200 مل,7.75,7.75,0
2122033000005,جبنة كيرى بالركفورد,89.95,89.95,0
6224000147143,جبنة فيتا عبور لاند - 250جم,18.4,18.4,0
2122018000006,دومتي جبنة دوبل كريم,96.95,96.95,0
6223001874980,المراعي زبادي تريتس تارت فراولة - 100 جم,6.8,5.45,19.852941176470583
6223002383252,زبادي سادة طبيعي دانون، 105 جم - 6+2 عبوة,30.95,30.95,0
3073781101553,جبنة مثلثات لافاش كيري - 32 قطعة,84.1,84.1,0
6223000757550,دومتي جبنة فيتا بلس زيتون - 1 كجم,70.95,61.95,12.684989429175475
6223003777609,لبن لاكتيل كامل الدسم - 1 لتر - عبوة من 6,182,149.95,17.609890109890117
2122067000002,جبنة حلوم,189.95,189.95,0
6223001870098,زبادي يوناني المراعي بالفراولة - 170 جرام,24.55,19.45,20.77393075356416
6223001871019,زبادي يوناني المراعي سادة - 5% دهون - 170 جرام,23.4,15.95,31.837606837606835
6223002380343,بودينج فانيليا دانيت - 100جم,7.3,7.3,0
6223001875000,زبادي المراعي تريتس بالتوت - 100 جم,6.8,5.45,19.852941176470583
6223000758861,جبنة دومتي فيتا بلس بطعم البسطرمة  - 500 جرام,37.5,37.5,0
6223000752876,جبنة إسطنبولي دومتي - 500جم,89.95,69.95,22.234574763757642
2122004000003,جبنة قريش بالأعشاب تي اس اتش,69.95,69.95,0
2122681000006,ماينز جبنة شيدر مطبوخ بالكمون,219.95,219.95,0
3228024060320,جبن سبريد بالقشطة بريزيدون - 500 جم,135,135,0
6223002380145,بودينج كاراميل دانيت - 100جم,7.3,7.3,0
6223004260445,جبنة كيري مثلثات - 8 قطع,34.1,34.1,0
6223004771545,جبنة فيتا جرين لاند بالزيتون - 500 جم,32.95,32.95,0
6223001878520,المراعي لبن رايب - 220 مللي,8.5,7.75,8.823529411764707
2122718000009,بيرلا جبنة براميلي طازة,89.95,89.95,0
6223003776206,جبنة بيضاء بريزيدن لايت - 500جم,92.75,92.75,0
2122328000000,شيدر أحمر,349.95,349.95,0
6223000752982,جبنة فيتا لايت دومتي - 500جم,89.95,69.95,22.234574763757642
3228023060376,جبنة شيدر بريزيدن مطبوخ كامل الدسم قابل للفرد - 900 جم,220,220,0
6224008637264,لمار حليب بالشيكولاتة - 1 لتر,29.55,29.55,0
6223003777906,زبادي طبيعي من لاكتيل - 105 جم - 12 عبوة,58.25,58.25,0
6222014352416,جهينة لبن رايب - 220 مللي,8.05,8.05,0
6222014312427,حليب لوز نباتي جهينة - 1 لتر,74.95,74.95,0
6222014350658,جهينة زبادى طبيعي - 105 جرام - 6 علب,29.75,24.95,16.134453781512608
3228022070055,جبنة رومي سبريد بريزيدون - 500 جم,135,135,0
6223001878810,المراعي يو جو مشروب زبادي فراولة - 220 مل,8.5,6.95,18.235294117647058
3228023950172,جبنة مثلثات بريزيدن مطبوخ كامل الدسم بالقشطة - 8 قطع,36,36,0
6223004833106,قتيلو جبن رومي قديم كامل الدسم - 600 جرام,190,190,0
3228022070079,جبنة براميلي بريزيدن - 500 جم,82.9,69.95,15.621230398069965
6224008637073,حليب لمار بالموز - 200 مل,7.55,7.55,0
6223000758908,جبنة دومتي فيتا بلس بطعم الشيدر - 500 جرام,37.5,37.5,0
6223003779146,لاكتيل زبادى طبيعى يونانى - 170 جرام,20.4,20.4,0
6224001105951,حليب لوز من لامار - 1 لتر,67.35,67.35,0
6223001875024,زبادي المراعي تريتس بالمانجو ، 100 جم,6.8,5.45,19.852941176470583
6223001878513,المراعي رايب - 440 مللي,14.1,14.1,0
3073781079234,جبنة مثلثات ابو الولد - 24 قطعة,46.9,46.9,0
6223001878803,المراعي يو جو مشروب زبادي خوخ - 220 مل,8.5,6.95,18.235294117647058
3073781052633,كيرى لبنه كريمي - 200 جرام,64.95,64.95,0
2122683000004,جبنة مينز بالشيدر الحمراء,219.95,219.95,0
6223003770198,زبادي يوناني لاكتيل، تشيز كيك - 180 جم,22.55,22.55,0
2122084000009,جبنة اسطمبولي,112.95,112.95,0
6223002382873,زبادي طبيعي من أكتيفيا، 170 جم,8.25,8.25,0
6224008637240,لمار كريمة مخفوقة - 200 مل,31.95,31.95,0
2122402000001,شيدر مصري,95.95,95.95,0
2122686000001,زبدة خليط 30%,139.95,139.95,0
6222014310928,لبن جهينة ميكس بالموز - 200 مل,6.45,6.45,0
6223000752975,جبنة فيتا بالزيتون دومتي - 500جم,89.95,69.95,22.234574763757642
6223000356326,جهينة كريمة طهي - 200 مل,31.35,31.35,0
2122025000006,جبنة قريش بالفلفل الرومي,69.95,69.95,0
2122020000001,جبنة اسطمبولي طازة,89.95,72.95,18.899388549193997
6223007520386,المراعي زبادى يوناني بالتوت - 170 جرام,24.55,19.45,20.77393075356416
6223003778163,زبادي لاكتيل كلاوني - 105 جم - 6 عبوات - + زبادي لاكتيل طبيعي - 105 جم - 6 عبوات,58.25,58.25,0
6223003771515,لاكتيل دويتو مشروب زبادي بالفراولة - 220 مل,9.95,9.95,0
6223003771539,لاكتيل دويتو مشروب زبادي بالخوخ - 220 مل,9.95,9.95,0
6222014300035,جهينة زبادي لايت - 180 جرام,7.35,6.45,12.244897959183666
6222014352553,جهينة زبادى سادة - 180 جرام,7.35,6.45,12.244897959183666
6224000490072,جبنة شيدر ضيافة - 400 جم,35.5,33.45,5.774647887323936
6224000036027,جبنة مثلثات طعمة ميلك - 8 قطع,17.75,17.75,0
6224008267812,جبنة فيتا تشيزا - 450 جرام,71.95,66.95,6.949270326615705
6223000758939,دومتي بلس جبنة فيتا بالرومي - 250 جرام,22.55,22.55,0
2122140000004,جبنة جودة موبي,294.95,294.95,0
6223000755907,جبنة فيتا جبنتي - 500جم,29.75,29.75,0
2122384000006,جبنة بطعم إيدام تشيزا,174.95,174.95,0
6223000758878,دومتي بلس جبنة فيتا بالبسطرمة - 250 جرام,22.55,22.55,0
2122732000009,جبنة قريش بيرلا,69.95,69.95,0
6223001871040,زبادي طبيعي المراعي، 105 جم - 6+2 عبوة,33.95,33.95,0
2122197000002,زبدة  إيرلندية/كيلو جرام,248.95,248.95,0
6223007520546,حليب خال الدسم المراعي - 200 مل,7.75,6.95,10.322580645161288
6224008267836,جبنة براميلي تشيزا - 450جم,71.95,66.95,6.949270326615705
6223002385010,دانون تيستي زبادي - طعم فراولة - 120 جرام,6.85,6.85,0
6223002385034,دانون تيستي زبادي - طعم خوخ - 120 جرام,6.85,6.85,0
6223007520331,المراعي زبادي طبيعي - 1 كجم,49.95,41.95,16.016016016016017
2122138000009,جبنة موبي ايدام,285.95,285.95,0
2122906000002,جبنة رومي اكسترا,239.95,239.95,0
6222014317026,جهينة كريمة مخفوقة - 500 مل,72.95,72.95,0
6224008267829,جبنة إسطنبولي تشيزا - 450 جرام,71.95,66.95,6.949270326615705
2122147000007,جبنة موزاريلا طبيعية,229.95,229.95,0
6224008709015,لبن عبور لاند 0 دهون - 1 لتر,30.75,25.95,15.609756097560979
6221007000778,مشروب زبادي نستله جو بالخوخ - 200مل,9.95,9.95,0
3073781058185,جبنة مثلثات ابو الولد - 8 قطع,17.4,17.4,0
6224011439121,زبدة مزارع دينا نقية غير مملحة - 900 جرام,214.95,214.95,0
2122064000005,جبنة عكاوي,169.95,169.95,0
6223000755860,جبنة فيتا بالزيتون دومتي - 250 جم,18.25,18.25,0
2122027000004,سلطه جبنه قريش,79.95,79.95,0
2122687000000,زبدة خليط 10%,128.95,128.95,0
